Id,Type
10001,Normal
10002,Normal
10003,Normal
10004,Normal
10005,Normal
10006,Normal
10007,Normal
10008,Normal
10009,Normal
10010,Normal
10011,Normal
10012,Normal
10013,Normal
10014,Normal
10015,Normal
10016,Normal
10017,Normal
10018,Normal
10019,Normal
10020,Normal
10021,Normal
10022,Normal
10023,Normal
10024,Normal
10025,Normal
10026,Normal
10027,Normal
10028,Normal
10029,Normal
10030,Normal
10031,Normal
10032,Normal
10033,Normal
10034,Normal
10035,Normal
10036,Normal
10037,Normal
10038,Normal
10039,Normal
10040,Normal
10041,Normal
10042,Normal
10043,Normal
10044,Normal
10045,Normal
10046,Normal
10047,Normal
10048,Normal
10049,Normal
10050,Normal
10051,Normal
10052,Normal
10053,Normal
10054,Normal
10055,Normal
10056,Normal
10057,Normal
10058,Normal
10059,Normal
10060,Normal
10061,Normal
10062,Normal
10063,Normal
10064,Normal
10065,Normal
10066,Normal
10067,Normal
10068,Normal
10069,Normal
10070,Normal
10071,Normal
10072,Normal
10073,Normal
10074,Normal
10075,Normal
10076,Normal
10077,Normal
10078,Normal
10079,Normal
10080,Normal
10081,Normal
10082,Normal
10083,Normal
10084,Normal
10085,Normal
10086,Normal
10087,Normal
10088,Normal
10089,Normal
10090,Normal
10091,Normal
10092,Normal
10093,Normal
10094,Normal
10095,Normal
10096,Normal
10097,Normal
10098,Normal
10099,Normal
10100,Normal
10101,Normal
10102,Normal
10103,Normal
10104,Normal
10105,Normal
10106,Normal
10107,Normal
10108,Normal
10109,Normal
10110,Normal
10111,Normal
10112,Normal
10113,Normal
10114,Normal
10115,Normal
10116,Normal
10117,Normal
10118,Normal
10119,Normal
10120,Normal
10121,Normal
10122,Normal
10123,Normal
10124,Normal
10125,Normal
10126,Normal
10127,Normal
10128,Normal
10129,Normal
10130,Normal
10131,Normal
10132,Normal
10133,Normal
10134,Normal
10135,Normal
10136,Normal
10137,Normal
10138,Normal
10139,Normal
10140,Normal
10141,Normal
10142,Normal
10143,Normal
10144,Normal
10145,Normal
10146,Normal
10147,Normal
10148,Normal
10149,Normal
10150,Normal
10151,Normal
10152,Normal
10153,Normal
10154,Normal
10155,Normal
10156,Normal
10157,Normal
10158,Normal
10159,Normal
10160,Normal
10161,Normal
10162,Normal
10163,Normal
10164,Normal
10165,Normal
10166,Normal
10167,Normal
10168,Normal
10169,Normal
10170,Normal
10171,Normal
10172,Normal
10173,Normal
10174,Normal
10175,Normal
10176,Normal
10177,Normal
10178,Normal
10179,Normal
10180,Normal
10181,Normal
10182,Normal
10183,Normal
10184,Normal
10185,Normal
10186,Normal
10187,Normal
10188,Normal
10189,Normal
10190,Normal
10191,Normal
10192,Normal
10193,Normal
10194,Normal
10195,Normal
10196,Normal
10197,Normal
10198,Normal
10199,Normal
10200,Normal
10201,Normal
10202,Normal
10203,Normal
10204,Normal
10205,Normal
10206,Normal
10207,Normal
10208,Normal
10209,Normal
10210,Normal
10211,Normal
10212,Normal
10213,Normal
10214,Normal
10215,Normal
10216,Normal
10217,Normal
10218,Normal
10219,Normal
10220,Normal
10221,Normal
10222,Normal
10223,Normal
10224,Normal
10225,Normal
10226,Normal
10227,Normal
10228,Normal
10229,Normal
10230,Normal
10231,Normal
10232,Normal
10233,Normal
10234,Normal
10235,Normal
10236,Normal
10237,Normal
10238,Normal
10239,Normal
10240,Normal
10241,Normal
10242,Normal
10243,Normal
10244,Normal
10245,Normal
10246,Normal
10247,Normal
10248,Normal
10249,Normal
10250,Normal
10251,Normal
10252,Normal
10253,Normal
10254,Normal
10255,Normal
10256,Normal
10257,Normal
10258,Normal
10259,Normal
10260,Normal
10261,Normal
10262,Normal
10263,Normal
10264,Normal
10265,Normal
10266,Normal
10267,Normal
10268,Normal
10269,Normal
10270,Normal
10271,Normal
10272,Normal
10273,Normal
10274,Normal
10275,Normal
10276,Normal
10277,Normal
10278,Normal
10279,Normal
10280,Normal
10281,Normal
10282,Normal
10283,Normal
10284,Normal
10285,Normal
10286,Normal
10287,Normal
10288,Normal
10289,Normal
10290,Normal
10291,Normal
10292,Normal
10293,Normal
10294,Normal
10295,Normal
10296,Normal
10297,Normal
10298,Normal
10299,Normal
10300,Normal
10301,Normal
10302,Normal
10303,Normal
10304,Normal
10305,Normal
10306,Normal
10307,Normal
10308,Normal
10309,Normal
10310,Normal
10311,Normal
10312,Normal
10313,Normal
10314,Normal
10315,Normal
10316,Normal
10317,Normal
10318,Normal
10319,Normal
10320,Normal
10321,Normal
10322,Normal
10323,Normal
10324,Normal
10325,Normal
10326,Normal
10327,Normal
10328,Normal
10329,Normal
10330,Normal
10331,Normal
10332,Normal
10333,Normal
10334,Normal
10335,Normal
10336,Normal
10337,Normal
10338,Normal
10339,Normal
10340,Normal
10341,Normal
10342,Normal
10343,Normal
10344,Normal
10345,Normal
10346,Normal
10347,Normal
10348,Normal
10349,Normal
10350,Normal
10351,Normal
10352,Normal
10353,Normal
10354,Normal
10355,Normal
10356,Normal
10357,Normal
10358,Normal
10359,Normal
10360,Normal
10361,Normal
10362,Normal
10363,Normal
10364,Normal
10365,Normal
10366,Normal
10367,Normal
10368,Normal
10369,Normal
10370,Normal
10371,Normal
10372,Normal
10373,Normal
10374,Normal
10375,Normal
10376,Normal
10377,Normal
10378,Normal
10379,Normal
10380,Normal
10381,Normal
10382,Normal
10383,Normal
10384,Normal
10385,Normal
10386,Normal
10387,Normal
10388,Normal
10389,Normal
10390,Normal
10391,Normal
10392,Normal
10393,Normal
10394,Normal
10395,Normal
10396,Normal
10397,Normal
10398,Normal
10399,Normal
10400,Normal
